transaction_id,customer_id,sku,product_name,line,date,qty,unit_price,revenue,channel,region,segment,campaign_group
T0000117,C00027,ALK-FB-05,10% Urea Fußcreme,Feet,2023-01-01,3,7.11,21.33,pharmacy,Bayern,diabetic_care,treatment
T0000214,C00050,ALK-MG-02,Mobil Einreibung Extra Stark,Muscles/Joints,2023-01-01,1,8.8,8.8,pharmacy,Niedersachsen,active_women_35,treatment
T0002323,C00569,ALK-FB-01,Fuß Butter,Feet,2023-01-01,1,7.99,7.99,pharmacy,Hamburg,diabetic_care,control
T0002826,C00684,ALK-LG-02,Bein Frische Gel,Legs,2023-01-01,1,7.93,7.93,pharmacy,Niedersachsen,young_active_women,treatment
T0000483,C00122,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-01-02,1,5.75,5.75,rossmann,Baden-Württemberg,traditional_55,control
T0001153,C00297,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-01-02,2,5.68,11.36,pharmacy,Hamburg,traditional_55,control
T0001557,C00390,ALK-LG-02,Bein Frische Gel,Legs,2023-01-02,1,8.51,8.51,pharmacy,Niedersachsen,active_women_35,treatment
T0002307,C00565,ALK-MG-02,Mobil Einreibung Extra Stark,Muscles/Joints,2023-01-02,1,9.23,9.23,dm,NRW,athletes_25,treatment
T0002933,C00710,ALK-LG-01,5 in 1 Beinlotion,Legs,2023-01-02,2,10.29,20.58,dm,Baden-Württemberg,young_active_women,treatment
T0003100,C00755,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-01-02,1,5.73,5.73,pharmacy,Bayern,athletes_25,control
T0000376,C00093,ALK-LG-02,Bein Frische Gel,Legs,2023-01-03,1,8.04,8.04,pharmacy,Sachsen,young_active_women,control
T0001142,C00294,ALK-FB-03,Hornhaut Reduziercreme,Feet,2023-01-03,1,6.88,6.88,pharmacy,Sachsen,diabetic_care,treatment
T0001179,C00303,ALK-FB-05,10% Urea Fußcreme,Feet,2023-01-03,1,7.41,7.41,pharmacy,Hessen,diabetic_care,treatment
T0001240,C00319,ALK-FB-05,10% Urea Fußcreme,Feet,2023-01-03,1,7.34,7.34,online,Baden-Württemberg,diabetic_care,treatment
T0001690,C00420,ALK-FB-05,10% Urea Fußcreme,Feet,2023-01-03,2,7.43,14.86,pharmacy,Hessen,diabetic_care,treatment
T0001888,C00470,ALK-LG-01,5 in 1 Beinlotion,Legs,2023-01-03,2,9.75,19.5,online,Niedersachsen,active_women_35,treatment
T0002100,C00516,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-01-03,1,5.54,5.54,dm,NRW,young_active_women,control
T0001200,C00307,ALK-MG-02,Mobil Einreibung Extra Stark,Muscles/Joints,2023-01-04,2,8.57,17.14,online,Hessen,active_women_35,treatment
T0001612,C00403,ALK-LG-01,5 in 1 Beinlotion,Legs,2023-01-04,1,10.32,10.32,pharmacy,Hamburg,athletes_25,treatment
T0001733,C00429,ALK-MG-04,Franzbranntwein,Muscles/Joints,2023-01-04,1,6.49,6.49,pharmacy,NRW,wellness_50plus,treatment
T0002326,C00569,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-01-04,3,6.04,18.12,pharmacy,Hamburg,diabetic_care,control
T0002471,C00607,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-01-04,1,5.74,5.74,pharmacy,Hessen,traditional_55,control
T0002806,C00680,ALK-MG-04,Franzbranntwein,Muscles/Joints,2023-01-04,2,6.92,13.84,online,Niedersachsen,athletes_25,control
T0002956,C00714,ALK-FB-01,Fuß Butter,Feet,2023-01-04,1,7.6,7.6,pharmacy,Baden-Württemberg,diabetic_care,control
T0003293,C00800,ALK-MG-02,Mobil Einreibung Extra Stark,Muscles/Joints,2023-01-04,1,8.63,8.63,dm,Baden-Württemberg,athletes_25,control
T0000228,C00054,ALK-FB-03,Hornhaut Reduziercreme,Feet,2023-01-05,1,6.89,6.89,online,Hamburg,young_active_women,control
T0000598,C00152,ALK-LG-01,5 in 1 Beinlotion,Legs,2023-01-05,2,10.29,20.58,pharmacy,Bayern,athletes_25,control
T0001861,C00464,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-01-05,1,5.78,5.78,rossmann,Hessen,athletes_25,control
T0002053,C00508,ALK-FB-02,Sole Fußbad,Feet,2023-01-05,2,6.46,12.92,pharmacy,Hamburg,wellness_50plus,control
T0002551,C00622,ALK-FB-01,Fuß Butter,Feet,2023-01-05,2,7.59,15.18,pharmacy,Niedersachsen,traditional_55,treatment
T0000622,C00160,ALK-MG-05,Wärmendes Intensiv Gel,Muscles/Joints,2023-01-06,1,7.92,7.92,rossmann,Hessen,traditional_55,treatment
T0000837,C00214,ALK-LG-01,5 in 1 Beinlotion,Legs,2023-01-06,1,9.59,9.59,pharmacy,Bayern,wellness_50plus,treatment
T0001942,C00483,ALK-FB-05,10% Urea Fußcreme,Feet,2023-01-06,1,7.2,7.2,pharmacy,Berlin,diabetic_care,treatment
T0000044,C00011,ALK-FB-01,Fuß Butter,Feet,2023-01-07,1,7.54,7.54,pharmacy,Sachsen,wellness_50plus,control
T0000909,C00231,ALK-FB-01,Fuß Butter,Feet,2023-01-07,1,8.08,8.08,pharmacy,NRW,traditional_55,treatment
T0001266,C00324,ALK-MG-02,Mobil Einreibung Extra Stark,Muscles/Joints,2023-01-07,1,9.14,9.14,online,Niedersachsen,athletes_25,control
T0001862,C00464,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-01-07,1,5.67,5.67,pharmacy,Hessen,athletes_25,control
T0002239,C00552,ALK-FB-02,Sole Fußbad,Feet,2023-01-07,1,6.22,6.22,dm,Niedersachsen,wellness_50plus,treatment
T0002539,C00621,ALK-MG-03,Mobil Eisspray akut,Muscles/Joints,2023-01-07,2,9.75,19.5,rossmann,Hessen,athletes_25,control
T0000474,C00118,ALK-FB-05,10% Urea Fußcreme,Feet,2023-01-08,1,7.32,7.32,pharmacy,NRW,diabetic_care,treatment
T0002151,C00529,ALK-FB-06,Fußpflege Deospray,Feet,2023-01-08,1,6.07,6.07,dm,Hamburg,young_active_women,control
T0002627,C00640,ALK-FB-04,Hornhaut Entferner Maske,Feet,2023-01-08,2,8.18,16.36,online,Baden-Württemberg,young_active_women,control
T0002930,C00710,ALK-FB-03,Hornhaut Reduziercreme,Feet,2023-01-08,3,7.05,21.15,online,Baden-Württemberg,young_active_women,treatment
T0003268,C00795,ALK-MG-03,Mobil Eisspray akut,Muscles/Joints,2023-01-08,2,9.64,19.28,online,NRW,athletes_25,treatment
T0001197,C00307,ALK-LG-02,Bein Frische Gel,Legs,2023-01-09,2,8.27,16.54,pharmacy,Hessen,active_women_35,treatment
T0001301,C00333,ALK-FB-01,Fuß Butter,Feet,2023-01-09,1,7.42,7.42,pharmacy,Bayern,diabetic_care,treatment
T0001518,C00381,ALK-LG-02,Bein Frische Gel,Legs,2023-01-09,1,8.34,8.34,online,Hamburg,young_active_women,treatment
T0002154,C00529,ALK-FB-04,Hornhaut Entferner Maske,Feet,2023-01-09,1,8.79,8.79,pharmacy,Hamburg,young_active_women,control
T0002272,C00557,ALK-MG-04,Franzbranntwein,Muscles/Joints,2023-01-09,1,6.64,6.64,online,NRW,young_active_women,control
T0003138,C00764,ALK-FB-01,Fuß Butter,Feet,2023-01-09,1,7.9,7.9,online,NRW,wellness_50plus,treatment
T0000554,C00139,ALK-FB-02,Sole Fußbad,Feet,2023-01-10,2,6.22,12.44,online,Hamburg,diabetic_care,treatment
T0000640,C00162,ALK-FB-01,Fuß Butter,Feet,2023-01-10,1,7.41,7.41,pharmacy,Sachsen,diabetic_care,treatment
T0001758,C00435,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-01-10,1,5.89,5.89,pharmacy,Hessen,athletes_25,control
T0002087,C00515,ALK-FB-03,Hornhaut Reduziercreme,Feet,2023-01-10,3,6.76,20.28,online,Hessen,diabetic_care,control
T0002163,C00532,ALK-MG-04,Franzbranntwein,Muscles/Joints,2023-01-10,1,6.55,6.55,pharmacy,NRW,traditional_55,treatment
T0002761,C00670,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-01-10,1,5.57,5.57,rossmann,Berlin,active_women_35,treatment
T0003206,C00781,ALK-FB-06,Fußpflege Deospray,Feet,2023-01-10,1,6.32,6.32,rossmann,Bayern,young_active_women,control
T0001672,C00416,ALK-FB-01,Fuß Butter,Feet,2023-01-11,1,7.51,7.51,pharmacy,Sachsen,diabetic_care,control
T0000572,C00145,ALK-FB-05,10% Urea Fußcreme,Feet,2023-01-12,3,7.06,21.18,pharmacy,Sachsen,diabetic_care,control
T0002424,C00596,ALK-FB-03,Hornhaut Reduziercreme,Feet,2023-01-12,1,7.06,7.06,online,Hamburg,young_active_women,control
T0002866,C00695,ALK-MG-01,Mobil Gel,Muscles/Joints,2023-01-12,1,6.02,6.02,rossmann,Bayern,athletes_25,control
T0003099,C00755,ALK-MG-02,Mobil Einreibung Extra Stark,Muscles/Joints,2023-01-12,1,9.05,9.05,online,Bayern,athletes_25,control
T0000914,C00232,ALK-CB-01,Ur Bonbons,Cough drops,2023-01-13,1,2.46,2.46,dm,Berlin,traditional_55,control
T0001435,C00363,ALK-LG-03,Besenreiser Pflegebalsam,Legs,2023-01-13,1,10.95,10.95,pharmacy,Hessen,active_women_35,control
T0002535,C00619,ALK-MG-04,Franzbranntwein,Muscles/Joints,2023-01-13,1,6.49,6.49,pharmacy,NRW,wellness_50plus,treatment
T0002818,C00683,ALK-FB-05,10% Urea Fußcreme,Feet,2023-01-13,2,7.35,14.7,pharmacy,NRW,diabetic_care,control
T0000982,C00252,ALK-MG-02,Mobil Einreibung Extra Stark,Muscles/Joints,2023-01-14,1,8.84,8.84,pharmacy,Hessen,diabetic_care,control
T0001367,C00348,ALK-FB-05,10% Urea Fußcreme,Feet,2023-01-14,1,7.08,7.08,rossmann,Berlin,athletes_25,treatment
T0001601,C00400,ALK-LG-02,Bein Frische Gel,Legs,2023-01-14,1,8.35,8.35,online,Niedersachsen,active_women_35,control
T0001976,C00490,ALK-LG-02,Bein Frische Gel,Legs,2023-01-14,1,8.45,8.45,pharmacy,Berlin,athletes_25,treatment
T0002486,C00611,ALK-MG-02,Mobil Einreibung Extra Stark,Muscles/Joints,2023-01-14,3,9.16,27.48,online,Hessen,athletes_25,control
T0002784,C00676,ALK-MG-03,Mobil Eisspray akut,Muscles/Joints,2023-01-14,1,9.55,9.55,dm,Hamburg,athletes_25,treatment
T0000131,C00029,ALK-FB-05,10% Urea Fußcreme,Feet,2023-01-15,1,7.42,7.42,pharmacy,Niedersachsen,diabetic_care,control
T0000822,C00210,ALK-MG-04,Franzbranntwein,Muscles/Joints,2023-01-15,1,6.6,6.6,pharmacy,Berlin,traditional_55,control
T0001630,C00407,ALK-MG-04,Franzbranntwein,Muscles/Joints,2023-01-15,3,7.04,21.12,pharmacy,Hamburg,wellness_50plus,treatment
T0002799,C00679,ALK-CB-01,Ur Bonbons,Cough drops,2023-01-15,1,2.61,2.61,dm,Sachsen,traditional_55,control
T0003188,C00776,ALK-FB-05,10% Urea Fußcreme,Feet,2023-01-15,1,6.89,6.89,rossmann,Sachsen,diabetic_care,treatment
T0001930,C00480,ALK-FB-05,10% Urea Fußcreme,Feet,2023-01-17,2,7.6,15.2,pharmacy,Bayern,diabetic_care,control
